,UpdateTime,NeuronsFired
0,2.3585779666900635,0
1,0.19443368911743164,268
2,0.1790604591369629,219
3,0.19208216667175293,239
4,0.18899822235107422,207
5,0.19899988174438477,213
6,0.1975853443145752,236
7,0.19952058792114258,197
8,0.18358898162841797,221
9,0.1900007724761963,245
10,0.19918513298034668,401
11,0.21764349937438965,815
12,0.2090001106262207,1224
13,0.20900201797485352,1365
14,0.20800065994262695,1495
15,0.2004404067993164,887
16,0.18799972534179688,737
17,0.18860578536987305,520
18,0.18799948692321777,410
19,0.18456172943115234,272
20,0.1824483871459961,313
21,0.20403814315795898,273
22,0.20199966430664062,390
23,0.20599937438964844,562
24,0.20056390762329102,718
25,0.22500228881835938,817
26,0.1975705623626709,997
27,0.1930851936340332,1040
28,0.18174982070922852,1056
29,0.21560955047607422,813
30,0.1950826644897461,762
31,0.19299769401550293,597
32,0.19105315208435059,482
33,0.20603084564208984,403
34,0.21222496032714844,454
35,0.22053837776184082,563
36,0.21108198165893555,601
37,0.22008657455444336,840
38,0.2095203399658203,855
39,0.2230362892150879,1033
40,0.21795892715454102,991
41,0.19368767738342285,1001
42,0.19602251052856445,960
43,0.20190024375915527,908
44,0.1972362995147705,864
45,0.18969035148620605,688
46,0.21938252449035645,692
47,0.2074902057647705,525
48,0.20014452934265137,485
49,0.19591689109802246,597
50,0.19624829292297363,647
51,0.205735445022583,756
52,0.21299505233764648,759
53,0.20962882041931152,964
54,0.21235132217407227,830
55,0.1960437297821045,736
56,0.21525144577026367,826
57,0.20036530494689941,753
58,0.18824028968811035,694
59,0.18542957305908203,588
60,0.1959526538848877,543
61,0.20241189002990723,652
62,0.20635128021240234,539
63,0.19495129585266113,656
64,0.19212079048156738,637
65,0.2005467414855957,677
66,0.22700095176696777,853
67,0.2108170986175537,836
68,0.202606201171875,947
69,0.2180006504058838,770
70,0.20254802703857422,825
71,0.20285272598266602,690
72,0.21665501594543457,714
73,0.20399975776672363,613
74,0.21499943733215332,623
75,0.1960911750793457,791
76,0.20600032806396484,884
77,0.2080857753753662,836
78,0.19859862327575684,913
79,0.21500158309936523,1124
80,0.20411467552185059,1304
81,0.21657657623291016,1408
82,0.20400190353393555,1457
83,0.209000825881958,1888
84,0.2187056541442871,1670
85,0.2155742645263672,2101
86,0.2129976749420166,1989
87,0.20156598091125488,2074
88,0.20696210861206055,1822
89,0.21799969673156738,2105
90,0.20663738250732422,1526
91,0.21341466903686523,1364
92,0.21205806732177734,1102
93,0.20305490493774414,945
94,0.20402979850769043,1044
95,0.21539592742919922,890
96,0.20719194412231445,790
97,0.2223341464996338,818
98,0.2337169647216797,938
99,0.1940004825592041,899
100,0.2015390396118164,842
101,0.2199995517730713,1318
102,0.21199798583984375,1650
103,0.21799969673156738,2220
104,0.21643757820129395,2569
105,0.22454595565795898,3319
106,0.22654199600219727,4336
107,0.23333501815795898,4486
108,0.25866174697875977,4338
109,0.23462271690368652,4232
110,0.2615954875946045,4571
111,0.24858474731445312,4495
112,0.2589991092681885,3397
113,0.22600293159484863,2885
114,0.23788928985595703,2331
115,0.21624302864074707,1593
116,0.2109975814819336,1431
117,0.21555829048156738,1283
118,0.21455025672912598,910
119,0.19501137733459473,924
120,0.2068946361541748,920
121,0.20901179313659668,903
122,0.20303964614868164,824
123,0.20200371742248535,818
124,0.20194029808044434,730
125,0.20403814315795898,810
126,0.21505498886108398,897
127,0.23798274993896484,1097
128,0.22100043296813965,1121
129,0.22458720207214355,1413
130,0.22502446174621582,1156
131,0.21700191497802734,1111
132,0.20800042152404785,1214
133,0.2095785140991211,1200
134,0.1980152130126953,1244
135,0.19557785987854004,1185
136,0.20501279830932617,1048
137,0.21299958229064941,986
138,0.2165834903717041,993
139,0.21200203895568848,910
140,0.20882248878479004,968
141,0.2113492488861084,899
142,0.2070140838623047,917
143,0.192094087600708,885
144,0.20737624168395996,888
145,0.19656753540039062,907
146,0.20454716682434082,967
147,0.20654892921447754,958
148,0.20458412170410156,915
149,0.22401714324951172,967
150,0.21301484107971191,827
151,0.22319936752319336,833
152,0.20592665672302246,886
153,0.20213794708251953,918
154,0.21138858795166016,900
155,0.19789695739746094,926
156,0.20416879653930664,972
157,0.19893908500671387,1181
158,0.20303773880004883,1179
159,0.2119152545928955,1206
160,0.20819854736328125,1134
161,0.21005535125732422,1079
162,0.20499968528747559,1174
163,0.21300005912780762,1102
164,0.2098557949066162,1101
165,0.20193862915039062,1026
166,0.21638107299804688,1027
167,0.19630169868469238,1101
168,0.22223496437072754,1122
169,0.20830225944519043,1080
170,0.22231841087341309,1098
171,0.22067928314208984,1048
172,0.21906733512878418,1107
173,0.2107534408569336,1270
174,0.20642900466918945,1170
175,0.20385217666625977,1114
176,0.19510531425476074,1112
177,0.20157957077026367,1187
178,0.20839357376098633,1104
179,0.20047354698181152,1150
180,0.19408226013183594,1169
181,0.21248936653137207,1222
182,0.22301054000854492,1323
183,0.21728181838989258,1400
184,0.20517468452453613,1376
185,0.20081353187561035,1505
186,0.20008111000061035,1421
187,0.227891206741333,1484
188,0.2166581153869629,1462
189,0.21157097816467285,1431
190,0.20626616477966309,1377
191,0.21407485008239746,1321
192,0.22307038307189941,1328
193,0.22040486335754395,1406
194,0.2173604965209961,1289
195,0.21878576278686523,1316
196,0.2082076072692871,1473
197,0.20718669891357422,1503
198,0.21757197380065918,1322
199,0.20948505401611328,1491
200,0.21954703330993652,1541
201,0.2243938446044922,1464
202,0.22009563446044922,1436
